date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2022-04-18, 09:57:58	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:58:00	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:58:02	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:58:04	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:58:06	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:58:08	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:58:10	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:58:12	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:58:14	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:58:16	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:58:18	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:58:20	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:58:22	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:58:24	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:58:26	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:58:28	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:58:30	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:58:32	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:58:34	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:58:36	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:58:38	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:58:40	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:58:42	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:58:44	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:58:46	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:58:48	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:58:50	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:58:52	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
